"product_category","month_str","month_num","revenue","orders","discount_pct","treated"
Headgear,"2019-12",12,1664.9,46,30.0,1
Housewares,"2019-01",1,1577.74,10,10.0,1
Housewares,"2019-02",2,174.24,5,20.0,1
Housewares,"2019-03",3,957.5799999999999,17,30.0,1
Housewares,"2019-04",4,178.75,10,10.0,1
Housewares,"2019-05",5,635.96,12,20.0,1
Housewares,"2019-06",6,487.56,10,30.0,1
Housewares,"2019-07",7,1482.32,22,10.0,1
Housewares,"2019-08",8,1161.7,33,20.0,1
Housewares,"2019-09",9,38.480000000000004,3,30.0,1
Lifestyle,"2019-01",1,9895.81,129,10.0,1
Lifestyle,"2019-02",2,12487.81,112,20.0,1
Lifestyle,"2019-03",3,11764.65,133,30.0,1
Lifestyle,"2019-04",4,12053.81,127,10.0,1
Lifestyle,"2019-05",5,8136.36,145,20.0,1
Lifestyle,"2019-06",6,8744.71,148,30.0,1
Lifestyle,"2019-07",7,13721.33,208,10.0,1
Lifestyle,"2019-08",8,12504.94,226,20.0,1
Lifestyle,"2019-09",9,10626.43,184,30.0,1
Lifestyle,"2019-10",10,12130.1,163,10.0,1
Lifestyle,"2019-11",11,2869.06,78,20.0,1
Lifestyle,"2019-12",12,2686.85,59,30.0,1
More Bags,"2019-01",1,1446.4599999999998,4,0.0,0
More Bags,"2019-02",2,475.81999999999994,4,0.0,0
More Bags,"2019-03",3,630.29,12,0.0,0
More Bags,"2019-04",4,454.87,11,0.0,0
More Bags,"2019-05",5,435.22,9,0.0,0
Nest,"2019-08",8,21275.92,86,20.0,1
Nest,"2019-09",9,72240.94,273,30.0,1
Nest,"2019-10",10,110256.78,416,10.0,1
Nest,"2019-11",11,179367.08,579,20.0,1
Nest,"2019-12",12,151135.58000000002,620,30.0,1
Nest-Canada,"2019-01",1,10007.92,30,10.0,1
Nest-Canada,"2019-02",2,4169.75,18,20.0,1
Nest-Canada,"2019-03",3,7857.599999999999,22,30.0,1
Nest-Canada,"2019-04",4,5855.9,16,10.0,1
Nest-Canada,"2019-05",5,3979.0499999999997,18,20.0,1
Nest-Canada,"2019-06",6,9624.05,36,30.0,1
Nest-Canada,"2019-07",7,8008.639999999999,23,10.0,1
Nest-Canada,"2019-08",8,5158.799999999999,18,20.0,1
Nest-Canada,"2019-09",9,3579.5,13,30.0,1
Nest-Canada,"2019-10",10,5058.849999999999,21,10.0,1
Nest-Canada,"2019-11",11,4995.799999999999,20,20.0,1
Nest-Canada,"2019-12",12,5517.49,23,30.0,1
Nest-USA,"2019-01",1,294900.72,1288,10.0,1
Nest-USA,"2019-02",2,203461.03,875,20.0,1
Nest-USA,"2019-03",3,207908.15,894,30.0,1
Nest-USA,"2019-04",4,189115.89,790,10.0,1
Nest-USA,"2019-05",5,180281.98,785,20.0,1
Nest-USA,"2019-06",6,203033.31,875,30.0,1
Nest-USA,"2019-07",7,216945.76,922,10.0,1
Nest-USA,"2019-08",8,203975.89,897,20.0,1
Nest-USA,"2019-09",9,175616.22,817,30.0,1
Nest-USA,"2019-10",10,213146.71,965,10.0,1
Nest-USA,"2019-11",11,273088.45,1204,20.0,1
Nest-USA,"2019-12",12,292368.33999999997,1314,30.0,1
Notebooks & Journals,"2019-01",1,7823.5599999999995,45,10.0,1
Notebooks & Journals,"2019-02",2,6694.83,43,20.0,1
Notebooks & Journals,"2019-03",3,5748.62,49,30.0,1
Notebooks & Journals,"2019-04",4,24289.71,58,10.0,1
Notebooks & Journals,"2019-05",5,6783.7,51,20.0,1
Notebooks & Journals,"2019-06",6,5590.03,44,30.0,1
Notebooks & Journals,"2019-07",7,25147.870000000003,119,10.0,1
Notebooks & Journals,"2019-08",8,31112.440000000002,154,20.0,1
Notebooks & Journals,"2019-09",9,8614.43,46,30.0,1
Notebooks & Journals,"2019-10",10,44.49,2,10.0,1
Notebooks & Journals,"2019-12",12,1045.44,9,30.0,1
Office,"2019-01",1,43109.76,300,10.0,1
Office,"2019-02",2,29832.23,254,20.0,1
Office,"2019-03",3,41705.21,326,30.0,1
Office,"2019-04",4,44876.57,291,10.0,1
Office,"2019-05",5,31476.12,321,20.0,1
Office,"2019-06",6,28658.71,284,30.0,1
Office,"2019-07",7,31711.34,321,10.0,1
Office,"2019-08",8,33965.58,363,20.0,1
Office,"2019-09",9,20526.95,266,30.0,1
Office,"2019-10",10,18455.47,277,10.0,1
Office,"2019-11",11,28721.71,285,20.0,1
Office,"2019-12",12,22202.66,238,30.0,1
Waze,"2019-01",1,990.53,39,10.0,1
Waze,"2019-02",2,694.4200000000001,19,20.0,1
Waze,"2019-03",3,1409.04,38,30.0,1
Waze,"2019-04",4,947.34,27,10.0,1
Waze,"2019-05",5,859.29,50,20.0,1
Waze,"2019-06",6,783.13,30,30.0,1
Waze,"2019-07",7,388.14,23,10.0,1
Waze,"2019-08",8,1018.72,53,20.0,1
Waze,"2019-09",9,765.08,29,30.0,1
Waze,"2019-10",10,1229.73,35,10.0,1
Waze,"2019-11",11,1502.08,53,20.0,1
Waze,"2019-12",12,1078.1,46,30.0,1
