"timeline","Coupon Users","Non-Coupon Users"
308,0.0363901018922853,
309,0.0342066957787481,
310,0.0327510917030567,
311,0.032023289665211,
313,0.0312954876273653,
315,0.0305676855895196,
316,0.0291120815138282,
318,0.0283842794759825,
319,0.0254730713245997,
320,0.024745269286754,
321,0.0232896652110625,
323,0.0211062590975254,
324,0.019650655021834,
325,0.0189228529839883,
327,0.0181950509461426,
328,0.0174672489082969,
330,0.0167394468704512,
331,0.0160116448326055,
332,0.0131004366812226,
333,0.0123726346433769,
334,0.0094614264919941,
336,0.0087336244541484,
337,0.007278020378457,
341,0.0065502183406113,
343,0.0058224163027656,
344,0.0043668122270742,
349,0.0029112081513828,
351,0.0007278020378457,
358,0.0,
