"name","description","date_iso","type"
Civil Rights Day,Civil Rights Day is on the third Monday of January in Arizona and New Hampshire. It honors civil rights activists such as Martin Luther King Jr.,"2019-01-21",Local holiday
International Day of Education,International Day of Education is a United Nations observance in the USA,"2019-01-24",United Nations observance
International Customs Day,International Customs Day celebrates custom personnel and agencies worldwide.,"2019-01-26",Worldwide observance
International Day of Commemoration in Memory of the Victims of the Holocaust,The United Nations' (UN) International Day of Commemoration in Memory of the Victims of the Holocaust remembers those who died and suffered during the Holocaust before and during World War II. It is on January 27 each year.,"2019-01-27",United Nations observance
World Leprosy Day,"World Leprosy Day brings awareness of leprosy, also known as Hansen's disease, and ways to prevent the disease.","2019-01-27",Worldwide observance
Kansas Day,Kansas Day is an annual observance that commemorates the state's admission to the Union in 1861.,"2019-01-29",Local observance
National Freedom Day,National Freedom Day in the United States is observed on February 1 each year.,"2019-02-01",Observance
National Wear Red Day,National Wear Red Day® raises public awareness of heart disease in women and ways to avoid and combat this problem.,"2019-02-01",Observance
First Day of Black History Month,First Day of Black History Month is a annual monthly observance in the USA,"2019-02-01",Observance
World Wetlands Day,World Wetlands Day raises awareness about the important role that the wetlands play in the environment and in our lives.,"2019-02-02",Worldwide observance
Groundhog Day,Many people in the United States observe Groundhog Day on February 2.,"2019-02-02",Observance
Super Bowl,The Super Bowl is the championship game of the National Football League (NFL) in the United States. It is played every year in February.,"2019-02-03",Sporting event
World Cancer Day,World Cancer Day is an annual global event on February 4 to raise people’s awareness of cancer.,"2019-02-04",Worldwide observance
Rosa Parks Day,The life of American civil rights leader Rosa Parks is celebrated in the United States on either February 4 or December 1.,"2019-02-04",Local observance
Rosa Parks Day,The life of American civil rights leader Rosa Parks is celebrated in the United States on either February 4 or December 1.,"2019-02-04",Local observance
Rosa Parks Day,The life of American civil rights leader Rosa Parks is celebrated in the United States on either February 4 or December 1.,"2019-02-04",Local observance
Lunar New Year,Lunar New Year marks the first day of the New Year in the Chinese calendar.,"2019-02-05",Observance
International Day of Zero Tolerance for Female Genital Mutilation,The International Day of Zero Tolerance for Female Genital Mutilation is an awareness campaign to end a harmful practice that violates girls’ and women’s rights.,"2019-02-06",United Nations observance
Ronald Reagan Day,Ronald Reagan Day is a state observance in the USA,"2019-02-06",Local observance
National Girls and Women in Sports Day,National Girls and Women in Sports Day is a observance in the USA,"2019-02-06",Observance
World Pulses Day,World Pulses Day is a United Nations observance in the USA,"2019-02-10",United Nations observance
International Day of Women and Girls in Science,The International Day of Women and Girls in Science is a UN holiday to recognize the critical role women and girls play in science and technology communities.,"2019-02-11",United Nations observance
World Day of the Sick,World Day of the Sick is a global event when people remember or pray for the sick.,"2019-02-11",Worldwide observance
Lincoln's Birthday,"Lincoln’s Birthday is observed in the United States in honor of Abraham Lincoln, who was the nation’s 16th president and was known as the Great Emancipator.","2019-02-12",Local holiday
Lincoln's Birthday,"Lincoln’s Birthday is observed in the United States in honor of Abraham Lincoln, who was the nation’s 16th president and was known as the Great Emancipator.","2019-02-12",Local observance
Georgia Day,Georgia Day is a state observance in the USA,"2019-02-12",Local observance
World Radio Day,World Radio Day is an annual United Nations (UN) event that promotes the importance of the radio in communicating information worldwide.,"2019-02-13",United Nations observance
Valentine's Day,Valentine's Day is an occasion to celebrate romantic love.,"2019-02-14",Observance
Statehood Day,Statehood Day is a local observance in the USA,"2019-02-14",Local observance
Susan B. Anthony's Birthday,Susan B Anthony Day is an national American observance that is legally recognized in some states.,"2019-02-15",Local observance
Susan B. Anthony Day,Susan B Anthony Day is an national American observance that is legally recognized in some states.,"2019-02-15",Local observance
Elizabeth Peratrovich Day,Elizabeth Peratrovich was one of the main driving forces behind the territory's Anti-Discrimination Act of 1945.,"2019-02-16",Local observance
Presidents' Day,"Washington's Birthday, or Presidents' Day, honors the life and work of the first president of the United States, George Washington.","2019-02-18",National holiday
Presidents' Day,Presidents' Day is a state holiday in the USA,"2019-02-18",Local holiday
Presidents' Day,Presidents' Day is a state legal holiday in the USA,"2019-02-18",Local holiday
Daisy Gatson Bates Day,"Daisy Gatson Bates Day is a state holiday in Arkansas, the United States, on the third Monday of February. It coincides with Washington’s Birthday.","2019-02-18",Local holiday
World Day of Social Justice,"The United Nations' (UN) World Day of Social Justice promotes poverty eradication, full employment and social integration. It is on February 20 each year.","2019-02-20",United Nations observance
International Mother Language Day,The United Nations' (UN) International Mother Language Day is annually held on February 21 to celebrate languages spoken worldwide. It also observes the human right to use these languages.,"2019-02-21",United Nations observance
African-American Scientist and Inventor Day,African-American Scientist and Inventor Day is a state observance in the USA,"2019-02-25",Local observance
George Rogers Clark Day,George Rogers Clark Day is a state observance in the USA,"2019-02-25",Local observance
Linus Pauling Day,"Linus Pauling Day is a state holiday on February 28 in Oregon, USA.","2019-02-28",Local observance
Zero Discrimination Day,"Discrimination Day highlights the negative impacts of discrimination and promotes tolerance, compassion and peace.","2019-03-01",United Nations observance
Self-Injury Awareness Day,"","2019-03-01",Worldwide observance
St. David's Day,"Many Welsh communities in the United States celebrate the life of their patron saint, St David, and their links with Wales on St David’s Day.","2019-03-01","Observance, Christian"
Read Across America Day,Read Across America Day is observed in the United States on March 2 each year.,"2019-03-01",Observance
Employee Appreciation Day,"Employee Appreciation Day is a US unofficial observance that recognizes and appreciates employees in all industries, aimed at helping employers keep their staff.","2019-03-01",Observance
First Day of Women's History Month,First Day of Women's History Month is a annual monthly observance in the USA,"2019-03-01",Observance
First Day of Irish American Heritage Month,First Day of Irish American Heritage Month is a annual monthly observance in the USA,"2019-03-01",Observance
Texas Independence Day,"Texas Independence Day is a legal holiday in Texas, in the United States.","2019-03-02",Local holiday
World Wildlife Day,"World Wildlife Day celebrates all flora and fauna, including animals, on Earth.","2019-03-03",United Nations observance
Maha Shivaratri,"Maha Shivratri is an annual festival dedicated to Shiva, the Hindu God of destruction. For devotees, is a day of reflection and meditation.","2019-03-04",Hinduism
Casimir Pulaski Day,"Casimir Pulaski Day is a day off for some schools and offices in Illinois, USA, on the first Monday of March each year.","2019-03-04",Local observance
Casimir Pulaski Day,"Casimir Pulaski Day is a day off for some schools and offices in Illinois, USA, on the first Monday of March each year.","2019-03-04",Local observance
Casimir Pulaski Day,"Casimir Pulaski Day is a day off for some schools and offices in Illinois, USA, on the first Monday of March each year.","2019-03-04",Local observance
Shrove Tuesday/Mardi Gras,"Shrove Tuesday is traditionally known as the day prior to Lent but it also serves as a day of celebration, known as Mardi Gras.","2019-03-05",Local holiday
Shrove Tuesday/Mardi Gras,"Shrove Tuesday is traditionally known as the day prior to Lent but it also serves as a day of celebration, known as Mardi Gras.","2019-03-05",Local holiday
Shrove Tuesday/Mardi Gras,"Shrove Tuesday is traditionally known as the day prior to Lent but it also serves as a day of celebration, known as Mardi Gras.","2019-03-05",Local holiday
Shrove Tuesday/Mardi Gras,"Shrove Tuesday is traditionally known as the day prior to Lent but it also serves as a day of celebration, known as Mardi Gras.","2019-03-05","Observance, Christian"
Shrove Tuesday/Mardi Gras,"Shrove Tuesday is traditionally known as the day prior to Lent but it also serves as a day of celebration, known as Mardi Gras.","2019-03-05",Local holiday
Town Meeting Day,"The state of Vermont, in the USA, holds its Town Meeting Day on the first Tuesday of March each year.","2019-03-05",Local holiday
Ash Wednesday,"Ash Wednesday is a Christian observance that marks the first day of Lent, which is prior to Easter.","2019-03-06",Christian
International Women's Day,International Women’s Day celebrates women’s achievements worldwide and throughout history.,"2019-03-08",United Nations observance
Daylight Saving Time starts,Daylight Saving Time starts in the USA,"2019-03-10T02:00:00-05:00",Clock change/Daylight Saving Time
World Kidney Day,World Kidney Day is an annual observation that attempts to raise global awareness about the importance of kidney health and tries to bring attention to the unique challenges faced by those who suffer from Chronic Kidney Disease.,"2019-03-14",Worldwide observance
St. Patrick's Day,"St Patrick's Day marks the life and deeds of St Patrick, one of Ireland's patron saints. It is an Irish-American celebration in the USA.","2019-03-17","Observance, Christian"
Evacuation Day,"Evacuation Day in Suffolk County, Massachusetts, commemorates the first major American military victory in the Revolutionary War, which saw the British troops evacuate Boston.","2019-03-17",Local holiday
Evacuation Day observed,"Evacuation Day in Suffolk County, Massachusetts, commemorates the first major American military victory in the Revolutionary War, which saw the British troops evacuate Boston.","2019-03-18",Local holiday
French Language Day,French Language Day is a United Nations observance in the USA,"2019-03-20",United Nations observance
International Day of Happiness,International Day of Happiness aims to promote the idea that the pursuit of happiness is universal.,"2019-03-20",United Nations observance
March Equinox,March Equinox in the USA (New York),"2019-03-20T17:58:32-04:00",Season
Holi,"Holi is a spring festival of colors celebrated by Hindus, Sikhs and others. It celebrates the triumph of good over evil and the upcoming season of spring. The festival can last up to sixteen days.","2019-03-21",Hinduism
Purim,"Purim commemorates a time when Jewish people were saved from death around the fourth century BCE, according to the Book of Esther.","2019-03-21",Hebrew
International Day for the Elimination of Racial Discrimination,The United Nations’ (UN) International Day for the Elimination of Racial Discrimination is annually observed on March 21.,"2019-03-21",United Nations observance
World Poetry Day,World Poetry Day celebrates poetry around the world on March 21 each year.,"2019-03-21",United Nations observance
International Day of Nowruz,"The UN’s International Day of Nowruz, also known as Nowruz, No-Ruz, No-Rooz or No Ruz, is observed on March 21 each year.","2019-03-21",United Nations observance
World Down Syndrome Day,World Down Syndrome Day is held on March 21 every year.,"2019-03-21",United Nations observance
International Day of Forests,"International Day of Forests raises awareness on forests and trees, including their role in climate change.","2019-03-21",United Nations observance
World Water Day,World Water Day aims to increase people's awareness of the water's importance in all aspects of life.,"2019-03-22",United Nations observance
World Meteorological Day,"World Meteorological Day marks the anniversary of the World Meteorological Organization's establishment on March 23, 1950.","2019-03-23",United Nations observance
World Tuberculosis Day,World Tuberculosis Day is annually held on March 24 to raise awareness of tuberculosis and ways to eradicate the disease.,"2019-03-24",United Nations observance
International Day for the Right to the Truth concerning Gross Human Rights Violations and for the Dignity of Victims,March 24 is the UN’s International Day for the Right to the Truth concerning Gross Human Rights Violations and for the Dignity of Victims,"2019-03-24",United Nations observance
International Day of Remembrance of Slavery Victims and the Transatlantic Slave Trade,"The International Day of Remembrance of the Victims of Slavery and the Transatlantic Slave Trade remembers the lives of Africans who were forced into slavery in North, Central and South America.","2019-03-25",United Nations observance
International Day of Solidarity with Detained and Missing Staff Members,The UN’s International Day of Solidarity with Detained and Missing Staff Members is annually held on March 25.,"2019-03-25",United Nations observance
Maryland Day,"Maryland Day commemorates the arrival of Lord Baltimore and the first colonists in Maryland, the United States, in the 17th century.","2019-03-25",Local observance
Seward's Day,"Seward’s Day is a state holiday in Alaska, in the United States, on the last Monday of March.","2019-03-25",Local holiday
Prince Jonah Kuhio Kalanianaole Day,Prince Jonah Kuhio Kalanianaole Day is annually held in Hawaii on March 26 to honor Prince Jonah Kuhio Kalanianaole.,"2019-03-26",Local holiday
National Vietnam War Veterans Day,National Vietnam War Veterans Day is an US observance to honor US military members who served during the Vietnam War.,"2019-03-29",Observance
Earth Hour,Earth Hour is an annual event in which many people worldwide turn their lights off on the last Saturday in March.,"2019-03-30",Worldwide observance
Wyoming Veterans Welcome Home Day,Wyoming Veterans Welcome Home Day is a state observance in the USA,"2019-03-30",Local observance
Doctors' Day,Doctors' Day is a observance in the USA,"2019-03-30",Observance
Vietnam Veterans Day,Vietnam Veterans Day is a state observance in the USA,"2019-03-30",Local observance
Vietnam Veteran Recognition Day,Vietnam Veteran Recognition Day is a state observance in the USA,"2019-03-30",Local observance
International Transgender Day of Visibility,International Transgender Day of Visibility is a worldwide observance in the USA,"2019-03-31",Worldwide observance
César Chávez Day,César Chávez Day celebrates the birthday of César Estrada Chávez.,"2019-03-31",Local holiday
César Chávez Day,César Chávez Day celebrates the birthday of César Estrada Chávez.,"2019-03-31",Local holiday
César Chávez Day,César Chávez Day celebrates the birthday of César Estrada Chávez.,"2019-03-31",Local holiday
César Chávez Day,César Chávez Day celebrates the birthday of César Estrada Chávez.,"2019-03-31",Local holiday
April Fool's Day,"April Fool's Day, on April 1, is a day to play practical jokes and tricks.","2019-04-01",Worldwide observance
César Chávez Day (substitute),César Chávez Day celebrates the birthday of César Estrada Chávez.,"2019-04-01",Local holiday
World Autism Awareness Day,"World Autism Awareness Day raises an awareness of issues surrounding people, particularly children, with autism worldwide.","2019-04-02",United Nations observance
Pascua Florida Day,"Pascua Florida Day, which usually falls on April 2, is a state day in Florida, USA.","2019-04-02",Local observance
Isra and Mi'raj,"Isra and Mi'raj (Isra Me'raj, Israa and Mi'raaj, Laylat Al-Isra wa Al-Miraj, Lailat al Miraj, Night Journey and Ascension to Heaven) marks the night when the Prophet Mohammad traveled from Mecca to Jerusalem, ascended to heaven and returned.","2019-04-03",Muslim
United Nations' Mine Awareness Day,The United Nations' International Day for Mine Awareness and Assistance in Mine Action is annually observed on April 4.,"2019-04-04",United Nations observance
International Day of Sport for Development and Peace,The International Day of Sport for Development and Peace aims to bring goodwill and positive social outcomes through sporting achievements.,"2019-04-06",United Nations observance
National Tartan Day,National Tartan Day is annually observed on April 6 to honor the major role that Scottish Americans played in the founding of the United States of America.,"2019-04-06",Observance
United Nations' World Health Day,"The World Health Organization, the United Nations' the directing and coordinating authority for health, annually highlights one of its priorities for global health on World Health Day.","2019-04-07",United Nations observance
Day of Remembrance of the Victims of the Rwanda Genocide,The UN’s Day of Remembrance of the Victims of the Rwanda Genocide is observed on April 7 each year.,"2019-04-07",United Nations observance
National Library Workers' Day,"National Library Workers’ Day recognizes the efforts and achievements that librarians make to give Americans access to information via books, computers and other media.","2019-04-09",Observance
International Day of Human Space Flight,The UN’s International Day of Human Space Flight is annually held on April 12.,"2019-04-12",United Nations observance
Thomas Jefferson's Birthday,Americans celebrate president Thomas Jefferson's Birthday on April 13.,"2019-04-13",Observance
Palm Sunday,Palm Sunday in the United States celebrates Jesus Christ’s entry into Jerusalem. It is also the Sunday before Easter Sunday.,"2019-04-14",Christian
World Art Day,World Art Day is a worldwide observance in the USA,"2019-04-15",Worldwide observance
Tax Day,Tax Day is the deadline for United States residents to file details of their income to the Internal Revenue Service (IRS) so that their liability for income tax can be assessed.,"2019-04-15",Observance
Father Damien Day,Father Damien Day or Saint Damien Day is an occasion for residents of the state of Hawaii to remember the life and deeds of a Belgian missionary.,"2019-04-15",Local observance
Patriots' Day,"Patriots' Day commemorates the battles of Lexington and Concord in 1775, which were two of the earliest battles in the American Revolutionary War.","2019-04-15",Local holiday
Boston Marathon,Boston Marathon is one of the world's oldest yearly marathon. It is held annually on Patriot's Day in the month of April.,"2019-04-15",Sporting event
Emancipation Day,People celebrate the end of slavery and citizens' rights on Emancipation Day in the United States.,"2019-04-16",Local holiday
Maundy Thursday,"Maundy Thursday, which is also known as Holy Thursday, is the day before Good Friday.","2019-04-18",Christian
International Day for Monuments and Sites,The International Day for Monuments and Sites raises awareness on preserving and conserving historical and archeological heritage sites.,"2019-04-18",Worldwide observance
Passover Eve,Passover Eve is a Jewish holiday in the USA,"2019-04-19",Hebrew
Good Friday,Good Friday commemorates Jesus Christ's crucifixion.,"2019-04-19","Local holiday, Christian"
Arbor Day,Arbor Day is a state observance in the USA,"2019-04-19",Local observance
Holy Saturday,Holy Saturday is the day before Easter Sunday in the United States.,"2019-04-20",Christian
Passover (first day),Passover marks the Israelites' liberation from slavery and their exodus from Egypt around 3000 years ago.,"2019-04-20",Hebrew
Chinese Language Day,Chinese Language Day is a United Nations observance that celebrates one of the organization’s 6 official languages – Chinese.,"2019-04-20",United Nations observance
World Creativity and Innovation Day,World Creativity and Innovation Day is a United Nations observance in the USA,"2019-04-21",United Nations observance
Easter Sunday,"Easter Sunday is an important day in the Christian church calendar because it celebrates Jesus Christ's resurrection, according to Christian belief.","2019-04-21","Observance, Christian"
San Jacinto Day,"San Jacinto Day commemorates the Battle of San Jacinto in what is now Harris County, Texas.","2019-04-21",Local holiday
Earth Day,The United Nations' International Mother Earth Day promotes environmental awareness and calls for the protection of our planet.,"2019-04-22",United Nations observance
Easter Monday,Easter Monday is the day after Easter Sunday. It is not a federal holiday in the United States of America (USA).,"2019-04-22","Observance, Christian"
Oklahoma Day,Oklahoma Day in the United States marks the anniversary of the opening of Oklahoma's lands to European settlers.,"2019-04-22",Local observance
Confederate Memorial Day,On Confederate Memorial Day remembers the soldiers who died fighting for the Confederate States of America during the American Civil War (1861-1865). It is a state holiday in some parts of the United States.,"2019-04-22",Local holiday
State Holiday,State Holiday is a state holiday in the USA,"2019-04-22",Local holiday
World Book and Copyright Day,World Book and Copyright Day is an occasion to celebrate the contribution of books and authors to our global culture and the connection between copyright and books.,"2019-04-23",United Nations observance
World Spanish Language Day,World Spanish Language Day is a United Nations observance in the USA,"2019-04-23",United Nations observance
English Language Day,"English Language Day promotes the history, culture and accomplishments of the English language.","2019-04-23",United Nations observance
International Day of Multilateralism and Diplomacy for Peace,International Day of Multilateralism and Diplomacy for Peace is a United Nations observance in the USA,"2019-04-24",United Nations observance
Administrative Professionals Day,Administrative Professionals Day® is on the Wednesday of the last full week of April. It remembers the important role of administrative professionals.,"2019-04-24",Observance
International Girls in ICT Day,International Girls in ICT Day is a United Nations observance in the USA,"2019-04-25",United Nations observance
World Malaria Day,World Malaria Day is annually observed on April 25 to promote efforts that provide effective control of malaria worldwide.,"2019-04-25",United Nations observance
Take our Daughters and Sons to Work Day,Take our Daughters and Sons to Work Day is a observance in the USA,"2019-04-25",Observance
Orthodox Good Friday,Many Orthodox Christians in the United States remember the events leading up to Jesus Christ's crucifixion on Great Friday.,"2019-04-26",Orthodox
World Intellectual Property Day,World Intellectual Property Day is annually held on April 26 to increase awareness and understanding of intellectual property worldwide.,"2019-04-26",United Nations observance
World Bicycle Day,World Bicycle Day is a United Nations observance in the USA,"2019-06-03",United Nations observance
International Chernobyl Disaster Remembrance Day,International Chernobyl Disaster Remembrance Day is a UN holiday designed to raise awareness of the consequences of the 1986 nuclear accident.,"2019-04-26",United Nations observance
Arbor Day,"Arbor Day encourages people to plant and care for trees. In Nebraska, it falls on the last Friday of April.","2019-04-26",Local holiday
Arbor Day,Arbor Day is a state observance in the USA,"2019-04-26",Local observance
Confederate Memorial Day,On Confederate Memorial Day remembers the soldiers who died fighting for the Confederate States of America during the American Civil War (1861-1865). It is a state holiday in some parts of the United States.,"2019-04-26",Local observance
State Holiday,State Holiday is a state observance in the USA,"2019-04-26",Local observance
Last Day of Passover,"The last day of Passover marks the end of the Passover period, which lasts for seven or eight days.","2019-04-27",Hebrew
Orthodox Holy Saturday,Many Orthodox Christians in the United States remember Jesus Christ’s burial and his descent into Hades on Holy Saturday.,"2019-04-27",Orthodox
Orthodox Easter,"Many Orthodox Christians in the United States mark Easter Sunday, also known as Pascha, as the day Jesus Christ was resurrected, according to the Christian bible.","2019-04-28",Orthodox
World Day for Safety and Health at Work,The World Day for Safety and Health at Work is observed on April 28 each year.,"2019-04-28",United Nations observance
Orthodox Easter Monday,Many Orthodox churches in the United States observe Easter Monday on the day after the Orthodox Easter Sunday date.,"2019-04-29",Orthodox
Arbor Day,Arbor Day is a state observance in the USA,"2019-04-29",Local observance
Confederate Memorial Day,On Confederate Memorial Day remembers the soldiers who died fighting for the Confederate States of America during the American Civil War (1861-1865). It is a state holiday in some parts of the United States.,"2019-04-29",Local holiday
International Jazz Day,"International Jazz Day recognizes the historical, cultural, and educational contribution of jazz.","2019-04-30",United Nations observance
Yom HaShoah,Many people in the United States observe Yom Hashoah by remembering Holocaust victims who died during World War II.,"2019-05-01",Hebrew
Law Day,Law Day in the United States is annually held on May 1.,"2019-05-01",Observance
Loyalty Day,Loyalty Day is a special day for people to reaffirm their loyalty to the United States and to recognize the heritage of American freedom.,"2019-05-01",Observance
Lei Day,"May Day is Lei Day in Hawai'i, celebrating Hawaiian culture or the “Aloha spirit.","2019-05-01",Local observance
First Day of Military Appreciation Month,First Day of Military Appreciation Month is a annual monthly observance in the USA,"2019-05-01",Observance
First Day of Asian Pacific American Heritage Month,First Day of Asian Pacific American Heritage Month is a annual monthly observance in the USA,"2019-05-01",Observance
First Day of Jewish American Heritage Month,First Day of Jewish American Heritage Month is a annual monthly observance in the USA,"2019-05-01",Observance
World Tuna Day,World Tuna Day is a UN holiday designed to raise awareness of the global importance of tuna.,"2019-05-02",United Nations observance
National Day of Prayer,"National Day of Prayer is held on the first Thursday of May each year, inviting Americans of all faiths to pray for the country and its leaders.","2019-05-02",Observance
West Virginia Day of Prayer,West Virginia Day of Prayer is a state observance in the USA,"2019-05-02",Local observance
World Press Freedom Day,World Press Freedom Day focuses on the importance of the freedom of the press and freedom of expression.,"2019-05-03",United Nations observance
Kentucky Oaks,The Kentucky Oaks is a rade 1 Stakes horse race held annually on the Friday before the Kentucky Derby in May.,"2019-05-03",Sporting event
Kent State Shootings Remembrance,"Kent State Shootings Remembrance Day is a local observance in Kent, Ohio.","2019-05-04",Local observance
Kentucky Derby,"Kentucky Derby is a Grade I Stakes horse race held annually in Louisville, Kentucky in May.","2019-05-04",Sporting event
Rhode Island Independence Day,Rhode Island Independence Day is a day to celebrate the state's declaration of independence from Great Britain in 1776.,"2019-05-04",Local observance
National Explosive Ordnance Disposal (EOD) Day,National Explosive Ordnance Disposal (EOD) Day is an occasion to remember those serving the profession of explosive ordnance disposal in the United States Armed Forces.,"2019-05-04",Observance
International Family Equality Day,International Family Equality Day is a worldwide observance in the USA,"2019-05-05",Worldwide observance
Cinco de Mayo,"'Cinco de Mayo' means ""Fifth of May"" in Spanish and is a festival of Mexican pride and heritage.","2019-05-05",Observance
Ramadan Starts,"Many Muslims in the United States fast in the hours of daylight during Ramadan, the ninth month in the Islamic calendar.","2019-05-06",Muslim
National Nurses Day,National Nurses Day is an occasion to honor the work of nurses.,"2019-05-06",Observance
National Teacher Appreciation Day,National Teacher Appreciation Day is a observance in the USA,"2019-05-07",Observance
Time of Remembrance and Reconciliation for Those Who Lost Their Lives during the Second World War,"The United Nations’ (UN) Time of Remembrance and Reconciliation for Those Who Lost Their Lives during the Second World War is annually held over two days, from May 8-9.","2019-05-08",United Nations observance
World Ovarian Cancer Day,World Ovarian Cancer Day aims to spread global awareness about ovarian cancer.,"2019-05-08",Worldwide observance
World Red Cross and Red Crescent Day,World Red Cross and Red Crescent Day is a worldwide observance in the USA,"2019-05-08",Worldwide observance
Truman Day,"Truman Day is a holiday in the state of Missouri to honor Harry S Truman, the only person born in Missouri to ever become President of the United States.","2019-05-08",Local holiday
Victory in Europe Day,Victory in Europe Day is a observance in the USA,"2019-05-08",Observance
Yom Ha'atzmaut,"Many Jewish communities in the United States celebrate Yom Ha’Atzmaut, which is Israel’s Independence Day, on the fifth day of the month of Iyar in the Jewish calendar.","2019-05-09",Hebrew
Confederate Memorial Day,On Confederate Memorial Day remembers the soldiers who died fighting for the Confederate States of America during the American Civil War (1861-1865). It is a state holiday in some parts of the United States.,"2019-05-10",Local observance
Native American Day,"Native Americans' Day, on the second Monday of October, is celebrated some parts of the United States in lieu of Columbus Day.","2019-06-02",Local holiday
Confederate Memorial Day,On Confederate Memorial Day remembers the soldiers who died fighting for the Confederate States of America during the American Civil War (1861-1865). It is a state holiday in some parts of the United States.,"2019-05-10",Local holiday
Native American Day,"Native Americans' Day, on the second Monday of October, is celebrated some parts of the United States in lieu of Columbus Day.","2019-05-10",Local observance
Military Spouse Appreciation Day,Appreciate and thank all the military spouses and partners you know on Military Spouse Appreciation Day.,"2019-05-10",Local observance
Military Spouse Appreciation Day,Appreciate and thank all the military spouses and partners you know on Military Spouse Appreciation Day.,"2019-05-10",Observance
World Migratory Bird Day,World Migratory Bird Day is observed the second weekend of May every year.,"2019-05-11",United Nations observance
International Nurses Day,International Nurses Day focuses on the critical contribution of nurses around the world in maintaining public health.,"2019-05-12",Worldwide observance
Mother's Day,Mother's Day celebrates the role of mothers and mother figures.,"2019-05-12",Observance
Mother's Day,Mother's Day celebrates the role of mothers and mother figures.,"2019-05-12",Local holiday
International Day of Families,"The International Day of Families is an occasion to celebrate the importance of families to people, societies and cultures around the world.","2019-05-15",United Nations observance
Peace Officers Memorial Day,"Peace Officers Memorial Day is held annually in the United States on May 15 in honor of federal, state and local officers killed or disabled in the line of duty.","2019-05-15",Observance
International Day of Living Together in Peace,International Day of Living Together in Peace is a United Nations observance in the USA,"2019-05-16",United Nations observance
International Day of Light,International Day of Light is a United Nations observance in the USA,"2019-05-16",United Nations observance
World Telecommunication and Information Society Day,World Information Society Day is celebrated each year to raise awareness of how information and communication can be beneficial for societies and economies.,"2019-05-17",United Nations observance
National Defense Transportation Day,National Defense Transportation Day occurs annually in the United States on the third Friday of May.,"2019-05-17",Observance
Public Lands Day,Public Lands Day is a state observance in the USA,"2019-05-18",Local observance
Armed Forces Day,Armed Forces Day is a national observance in the United States on the third Saturday of May each year.,"2019-05-18",Observance
Preakness Stakes,The Preakness Stakes is the second event in the Triple Crown and is annually held two weeks after the Kentucky Derby.,"2019-05-18",Sporting event
Day of Vesak,Vesak Day is a Buddhist holiday that celebrates the birth of its founder. It is usually observed on the day of the full moon in May.,"2019-05-19",United Nations observance
World Bee Day,World Bee Day is a United Nations observance in the USA,"2019-05-20",United Nations observance
