"transaction_date","transaction_id","customer_id","customer_gender","customer_location","customer_tenure_months","produkt_sku","product_category","quantity","avg_price","delivery_charges","revenue","coupon_status","discount_pct","gst_onsale","daily_offline","daily_online","transaction_month","transaction_month_str","AOV_segment"
2019-11-15,"43,474","15,311",F,Illinois,40,GGOEAFKA087499,Accessories,3,2.99,6,14.97,Used,20,0.1,"4,000",737.08,11,nov,Medium-High
2019-11-03,"42,489","17,841",M,California,21,GGOEGCKQ084999,Accessories,1,3.99,6,9.99,Clicked,20,0.1,"2,000","2,294.09",11,nov,Medium-High
2019-11-03,"42,489","17,841",M,California,21,GGOEAFKA087599,Accessories,1,2.39,6,8.39,Clicked,20,0.1,"2,000","2,294.09",11,nov,Medium-High
2019-11-14,"43,412","17,757",F,New York,45,GGOEAFKA087599,Accessories,1,2.39,6,8.39,Clicked,20,0.1,"4,000",855.19,11,nov,Medium-High
2019-11-07,"42,764","14,911",F,California,34,GGOEAFKA087499,Accessories,1,2.39,6.5,8.89,Used,20,0.1,"3,500","1,252.63",11,nov,Medium-High
2019-11-14,"43,412","17,757",F,New York,45,GGOEAFKA087499,Accessories,1,2.39,6,8.39,Clicked,20,0.1,"4,000",855.19,11,nov,Medium-High
2019-11-07,"42,762","14,911",F,California,34,GGOEWCKQ085457,Accessories,1,16.99,6,22.99,Clicked,20,0.1,"3,500","1,252.63",11,nov,Medium-High
2019-11-07,"42,761","14,911",F,California,34,GGOEGCKQ084999,Accessories,93,3.99,12.91,383.98,Used,20,0.1,"3,500","1,252.63",11,nov,Medium-High
2019-11-07,"42,761","14,911",F,California,34,GGOEAFKA087499,Accessories,100,2.39,12.91,251.91,Used,20,0.1,"3,500","1,252.63",11,nov,Medium-High
2019-11-06,"42,700","13,089",F,New Jersey,25,GGOEAFKA087599,Accessories,10,2.39,16.85,40.75,Clicked,20,0.1,"3,500","2,546.6",11,nov,Low
2019-11-06,"42,684","16,782",F,New York,45,GGOEGCKQ084999,Accessories,2,4.99,6,15.98,Clicked,20,0.1,"3,500","2,546.6",11,nov,Low
2019-11-25,"44,519","17,841",M,California,21,GGOEAFKA087499,Accessories,2,2.39,6.5,11.28,Used,20,0.1,"2,500","2,643.59",11,nov,Medium-High
2019-10-21,"41,286","14,527",M,California,43,GGOEGCKQ084999,Accessories,1,3.99,19.99,23.98,Not Used,10,0.1,"2,500","2,848.39",10,oct,Medium-Low
2019-10-30,"42,176","15,373",M,Washington DC,24,GGOEWCKQ085457,Accessories,1,13.59,6,19.59,Clicked,10,0.1,"2,000",780.15,10,oct,Medium-High
2019-10-20,"41,252","15,601",F,Illinois,46,GGOEGCKQ084999,Accessories,35,3.99,18.96,158.61,Clicked,10,0.1,"2,500","2,827.25",10,oct,Medium-High
2019-10-17,"40,898","13,117",M,New Jersey,30,GGOEGCKQ084999,Accessories,1,4.99,6,10.99,Clicked,10,0.1,"2,500","1,783.56",10,oct,Medium-High
2019-10-29,"42,075","16,422",F,California,35,GGOEAFKA087599,Accessories,5,2.39,12.91,24.86,Clicked,10,0.1,"2,000","1,564.09",10,oct,Medium-Low
2019-10-16,"40,881","14,911",F,California,34,GGOEGCKQ084999,Accessories,1,3.99,6,9.99,Clicked,10,0.1,"2,500","1,218.6",10,oct,Medium-High
2019-10-26,"41,740","14,189",F,New York,7,GGOEGCKQ084999,Accessories,1,4.99,6,10.99,Used,10,0.1,"3,500","2,374.99",10,oct,Medium-Low
2019-10-07,"40,035","16,931",F,New Jersey,37,GGOEGCKQ084999,Accessories,1,3.99,6,9.99,Clicked,10,0.1,"3,000","2,154.78",10,oct,High
2019-09-21,"38,627","16,904",F,California,17,GGOEGCKQ084999,Accessories,3,3.99,6.5,18.47,Clicked,30,0.1,"2,500","1,098.2",9,sep,Medium-High
2019-09-15,"38,255","16,814",M,California,22,GGOEGBPB081999,Accessories,12,27.99,28.73,364.61,Not Used,30,0.1,"3,000","2,546.67",9,sep,High
2019-09-23,"38,828","14,307",F,California,28,GGOEGCKQ084999,Accessories,1,3.99,6,9.99,Clicked,30,0.1,"2,500","2,908.1",9,sep,Medium-High
2019-09-18,"38,360","15,023",F,Illinois,40,GGOEGCKQ084999,Accessories,5,3.99,53.78,73.73,Clicked,30,0.1,"2,500","2,297.87",9,sep,High
2019-09-15,"38,255","16,814",M,California,22,GGOEGBPB082099,Accessories,22,33.59,28.73,767.71,Clicked,30,0.1,"3,000","2,546.67",9,sep,High
2019-08-16,"35,815","15,311",F,Illinois,40,GGOEAAAH083313,Android,1,11.19,6,17.19,Clicked,20,0.1,"3,500","1,692.8",8,aug,Medium-High
2019-08-15,"35,728","17,406",F,Illinois,3,GGOEAAAH083315,Android,1,11.19,6,17.19,Used,20,0.1,"3,500","1,122.49",8,aug,Medium-High
2019-02-06,"19,793","14,911",F,California,34,GGOEAAAH083314,Android,1,19.99,6.5,26.49,Not Used,20,0.1,"3,000","1,665.47",2,feb,Medium-High
2019-01-25,"18,852","17,581",M,California,25,GGOEAAAH083314,Android,1,20.62,6.5,27.12,Used,10,0.1,"1,000","1,124.95",1,jan,Medium-Low
2019-01-14,"17,891","12,947",M,California,48,GGOEAAAH083315,Android,1,16.5,6.5,23,Not Used,10,0.1,"5,000","1,920.57",1,jan,Medium-High
2019-07-20,"33,250","15,002",M,Illinois,41,GGOEAAAH083316,Android,1,13.99,6,19.99,Not Used,10,0.1,"2,000","2,097.22",7,jul,Medium-Low
2019-07-13,"32,585","14,606",F,Illinois,33,GGOEAAAH083315,Android,1,13.99,6,19.99,Clicked,10,0.1,"2,500","2,489.36",7,jul,Medium-High
2019-07-14,"32,696","17,069",F,California,10,GGOEAAAH083314,Android,2,11.19,6,28.38,Not Used,10,0.1,"2,500","2,064.34",7,jul,High
2019-06-27,"31,372","16,931",F,New Jersey,37,GGOEAAAH083314,Android,1,15.99,6,21.99,Clicked,30,0.1,"1,500",649.14,6,jun,High
2019-06-23,"31,085","14,723",M,Illinois,4,GGOEAAAH083314,Android,2,15.99,6,37.98,Clicked,30,0.1,"3,500","2,283.08",6,jun,Medium-High
2019-06-09,"29,988","12,647",M,New York,28,GGOEAAAH083316,Android,1,15.99,6,21.99,Clicked,30,0.1,"3,500","2,940.1",6,jun,Medium-Low
2019-06-07,"29,771","15,061",M,California,7,GGOEAAAH083314,Android,1,19.99,6,25.99,Clicked,30,0.1,"3,500","1,694.16",6,jun,High
2019-03-08,"22,380","14,825",F,California,34,GGOEAAAH083315,Android,1,15.99,6.5,22.49,Clicked,30,0.1,"2,500","1,918.53",3,mar,Medium-Low
2019-03-17,"23,112","17,218",F,Illinois,31,GGOEAAAH083315,Android,1,15.99,49.73,65.72,Used,30,0.1,"2,000","1,837.87",3,mar,Medium-Low
2019-04-11,"25,270","15,513",F,Illinois,21,GGOEYAFB073113,Apparel,1,55.99,15.75,71.74,Used,10,0.18,"3,000",804.85,4,apr,High
2019-04-11,"25,274","15,513",F,Illinois,21,GGOEGAEJ028013,Apparel,1,11.89,6.5,18.39,Used,10,0.18,"3,000",804.85,4,apr,High
2019-04-11,"25,274","15,513",F,Illinois,21,GGOEGAFJ036213,Apparel,1,51.99,6.5,58.49,Clicked,10,0.18,"3,000",804.85,4,apr,High
2019-04-11,"25,277","15,513",F,Illinois,21,GGOEAAEH035214,Apparel,1,16.79,6.5,23.29,Used,10,0.18,"3,000",804.85,4,apr,High
2019-04-14,"25,540","14,527",M,California,43,GGOEGAEJ035314,Apparel,1,29.99,6,35.99,Used,10,0.18,"3,000","1,747",4,apr,Medium-Low
2019-04-14,"25,539","14,527",M,California,43,GGOEGAWQ062953,Apparel,1,27.19,6.5,33.69,Clicked,10,0.18,"3,000","1,747",4,apr,Medium-Low
2019-04-11,"25,277","15,513",F,Illinois,21,GGOEGAAJ032714,Apparel,1,11.19,6.5,17.69,Clicked,10,0.18,"3,000",804.85,4,apr,High
2019-04-14,"25,537","14,527",M,California,43,GGOEGAAJ080616,Apparel,1,15.99,6,21.99,Used,10,0.18,"3,000","1,747",4,apr,Medium-Low
2019-04-11,"25,277","15,513",F,Illinois,21,GGOEGAAJ032814,Apparel,1,11.19,6.5,17.69,Clicked,10,0.18,"3,000",804.85,4,apr,High
2019-04-28,"26,716","14,911",F,California,34,GGOEGAEB084514,Apparel,1,33.59,6,39.59,Clicked,10,0.18,"3,500","2,019.73",4,apr,Medium-High
2019-04-11,"25,277","15,513",F,Illinois,21,GGOEGAAQ033914,Apparel,1,10.63,6.5,17.13,Used,10,0.18,"3,000",804.85,4,apr,High
2019-04-28,"26,715","14,911",F,California,34,GGOEYAEJ029015,Apparel,1,15.19,6,21.19,Used,10,0.18,"3,500","2,019.73",4,apr,Medium-High
2019-04-28,"26,715","14,911",F,California,34,GGOEGAEB084515,Apparel,1,33.59,6,39.59,Used,10,0.18,"3,500","2,019.73",4,apr,Medium-High
2019-04-28,"26,715","14,911",F,California,34,GGOEGAEB027816,Apparel,1,13.59,6,19.59,Clicked,10,0.18,"3,500","2,019.73",4,apr,Medium-High
2019-04-28,"26,715","14,911",F,California,34,GGOEGAEB027815,Apparel,1,13.59,6,19.59,Used,10,0.18,"3,500","2,019.73",4,apr,Medium-High
2019-04-28,"26,712","14,911",F,California,34,GGOEGAEB084516,Apparel,2,33.59,6,73.18,Not Used,10,0.18,"3,500","2,019.73",4,apr,Medium-High
2019-04-28,"26,712","14,911",F,California,34,GGOEGAEB084515,Apparel,2,33.59,6,73.18,Clicked,10,0.18,"3,500","2,019.73",4,apr,Medium-High
2019-04-28,"26,712","14,911",F,California,34,GGOEGAEB084514,Apparel,1,33.59,6,39.59,Not Used,10,0.18,"3,500","2,019.73",4,apr,Medium-High
2019-04-28,"26,711","14,911",F,California,34,GGOEGAEB084515,Apparel,1,33.59,6,39.59,Clicked,10,0.18,"3,500","2,019.73",4,apr,Medium-High
2019-04-28,"26,711","14,911",F,California,34,GGOEGAAJ080614,Apparel,1,15.99,6,21.99,Clicked,10,0.18,"3,500","2,019.73",4,apr,Medium-High
2019-04-13,"25,509","14,911",F,California,34,GGOEGAAL010614,Apparel,1,13.59,6,19.59,Not Used,10,0.18,"3,000","2,872.23",4,apr,Medium-High
2019-04-28,"26,710","14,911",F,California,34,GGOEGAEB084513,Apparel,1,33.59,6,39.59,Used,10,0.18,"3,500","2,019.73",4,apr,Medium-High
2019-04-28,"26,709","14,911",F,California,34,GGOEGAEB084513,Apparel,1,33.59,6,39.59,Used,10,0.18,"3,500","2,019.73",4,apr,Medium-High
2019-04-13,"25,509","14,911",F,California,34,GGOEGAAJ057014,Apparel,1,30.79,6,36.79,Used,10,0.18,"3,000","2,872.23",4,apr,Medium-High
2019-04-13,"25,509","14,911",F,California,34,GGOEGAAB033814,Apparel,1,15.19,6,21.19,Used,10,0.18,"3,000","2,872.23",4,apr,Medium-High
2019-04-13,"25,509","14,911",F,California,34,GGOEGAAB010514,Apparel,1,13.59,6,19.59,Not Used,10,0.18,"3,000","2,872.23",4,apr,Medium-High
2019-04-13,"25,508","14,911",F,California,34,GGOEGAAJ032814,Apparel,1,13.99,6,19.99,Not Used,10,0.18,"3,000","2,872.23",4,apr,Medium-High
2019-04-13,"25,507","14,911",F,California,34,GGOEGADJ056814,Apparel,1,76.99,6,82.99,Clicked,10,0.18,"3,000","2,872.23",4,apr,Medium-High
2019-04-28,"26,708","14,911",F,California,34,GGOEGAEB084516,Apparel,1,33.59,6,39.59,Used,10,0.18,"3,500","2,019.73",4,apr,Medium-High
2019-04-28,"26,708","14,911",F,California,34,GGOEGAEB084513,Apparel,1,33.59,6,39.59,Clicked,10,0.18,"3,500","2,019.73",4,apr,Medium-High
2019-04-28,"26,706","14,911",F,California,34,GGOEGAEB084513,Apparel,1,33.59,6,39.59,Clicked,10,0.18,"3,500","2,019.73",4,apr,Medium-High
2019-04-13,"25,502","14,911",F,California,34,GGOEGAER035515,Apparel,1,11.75,6,17.75,Clicked,10,0.18,"3,000","2,872.23",4,apr,Medium-High
2019-04-13,"25,500","14,911",F,California,34,GGOEGAAB033814,Apparel,1,18.99,6,24.99,Not Used,10,0.18,"3,000","2,872.23",4,apr,Medium-High
2019-04-28,"26,705","14,911",F,California,34,GGOEGAEB084516,Apparel,1,33.59,6,39.59,Used,10,0.18,"3,500","2,019.73",4,apr,Medium-High
2019-04-28,"26,705","14,911",F,California,34,GGOEGAEB084514,Apparel,1,33.59,6,39.59,Not Used,10,0.18,"3,500","2,019.73",4,apr,Medium-High
2019-04-28,"26,705","14,911",F,California,34,GGOEGAAB010516,Apparel,1,13.59,6,19.59,Not Used,10,0.18,"3,500","2,019.73",4,apr,Medium-High
2019-04-28,"26,704","14,911",F,California,34,GGOEGAEB084516,Apparel,1,33.59,6,39.59,Used,10,0.18,"3,500","2,019.73",4,apr,Medium-High
2019-04-11,"25,332","13,319",F,Illinois,27,GGOEGAAC032115,Apparel,2,18.99,6.5,44.48,Used,10,0.18,"3,000",804.85,4,apr,Medium-High
2019-04-28,"26,704","14,911",F,California,34,GGOEGAEB084515,Apparel,2,33.59,6,73.18,Used,10,0.18,"3,500","2,019.73",4,apr,Medium-High
2019-04-28,"26,704","14,911",F,California,34,GGOEGAEB084514,Apparel,1,33.59,6,39.59,Used,10,0.18,"3,500","2,019.73",4,apr,Medium-High
2019-04-28,"26,703","14,911",F,California,34,GGOEGAEB084516,Apparel,1,33.59,6,39.59,Not Used,10,0.18,"3,500","2,019.73",4,apr,Medium-High
2019-04-11,"25,332","13,319",F,Illinois,27,GGOEGAAR010715,Apparel,3,16.99,6.5,57.47,Clicked,10,0.18,"3,000",804.85,4,apr,Medium-High
2019-04-11,"25,332","13,319",F,Illinois,27,GGOEGAAR010716,Apparel,3,16.99,6.5,57.47,Used,10,0.18,"3,000",804.85,4,apr,Medium-High
2019-04-11,"25,332","13,319",F,Illinois,27,GGOEGAAR010717,Apparel,2,16.99,6.5,40.48,Not Used,10,0.18,"3,000",804.85,4,apr,Medium-High
2019-04-11,"25,332","13,319",F,Illinois,27,GGOEGAEC033114,Apparel,1,24.99,6.5,31.49,Clicked,10,0.18,"3,000",804.85,4,apr,Medium-High
2019-04-11,"25,332","13,319",F,Illinois,27,GGOEGAEC033115,Apparel,1,24.99,6.5,31.49,Clicked,10,0.18,"3,000",804.85,4,apr,Medium-High
2019-04-28,"26,703","14,911",F,California,34,GGOEGAEB084515,Apparel,1,33.59,6,39.59,Clicked,10,0.18,"3,500","2,019.73",4,apr,Medium-High
2019-04-28,"26,702","14,911",F,California,34,GGOEGAEB084515,Apparel,1,33.59,6,39.59,Clicked,10,0.18,"3,500","2,019.73",4,apr,Medium-High
2019-04-11,"25,332","13,319",F,Illinois,27,GGOEGAEC033116,Apparel,1,24.99,6.5,31.49,Used,10,0.18,"3,000",804.85,4,apr,Medium-High
2019-04-28,"26,702","14,911",F,California,34,GGOEGAEB084514,Apparel,1,33.59,6,39.59,Clicked,10,0.18,"3,500","2,019.73",4,apr,Medium-High
2019-04-11,"25,332","13,319",F,Illinois,27,GGOEGAEJ035313,Apparel,1,29.99,6.5,36.49,Clicked,10,0.18,"3,000",804.85,4,apr,Medium-High
2019-04-13,"25,498","14,911",F,California,34,GGOEGAWQ062249,Apparel,1,13.59,6.5,20.09,Clicked,10,0.18,"3,000","2,872.23",4,apr,Medium-High
2019-04-11,"25,332","13,319",F,Illinois,27,GGOEGAEJ035314,Apparel,1,29.99,6.5,36.49,Not Used,10,0.18,"3,000",804.85,4,apr,Medium-High
2019-04-11,"25,332","13,319",F,Illinois,27,GGOEGAEJ035315,Apparel,1,29.99,6.5,36.49,Clicked,10,0.18,"3,000",804.85,4,apr,Medium-High
2019-04-13,"25,498","14,911",F,California,34,GGOEGAWH061348,Apparel,1,19.19,6.5,25.69,Not Used,10,0.18,"3,000","2,872.23",4,apr,Medium-High
2019-04-13,"25,496","14,911",F,California,34,GGOEYAAJ033013,Apparel,1,11.19,6,17.19,Used,10,0.18,"3,000","2,872.23",4,apr,Medium-High
2019-04-11,"25,332","13,319",F,Illinois,27,GGOEGAEJ035317,Apparel,1,29.99,6.5,36.49,Clicked,10,0.18,"3,000",804.85,4,apr,Medium-High
2019-04-13,"25,495","14,911",F,California,34,GGOEGAQB036014,Apparel,1,44.79,6.5,51.29,Used,10,0.18,"3,000","2,872.23",4,apr,Medium-High
2019-04-13,"25,495","14,911",F,California,34,GGOEGAFB035815,Apparel,1,44.79,6.5,51.29,Clicked,10,0.18,"3,000","2,872.23",4,apr,Medium-High
2019-04-13,"25,495","14,911",F,California,34,GGOEGAFB035814,Apparel,1,44.79,6.5,51.29,Used,10,0.18,"3,000","2,872.23",4,apr,Medium-High
2019-04-28,"26,700","14,911",F,California,34,GGOEGAEB084517,Apparel,1,33.59,6,39.59,Used,10,0.18,"3,500","2,019.73",4,apr,Medium-High
2019-04-28,"26,699","14,911",F,California,34,GGOEGAEB084516,Apparel,1,33.59,6,39.59,Clicked,10,0.18,"3,500","2,019.73",4,apr,Medium-High
2019-04-28,"26,698","14,911",F,California,34,GGOEGAEB084514,Apparel,1,33.59,6.5,40.09,Clicked,10,0.18,"3,500","2,019.73",4,apr,Medium-High
2019-04-28,"26,698","14,911",F,California,34,GGOEGAEB084513,Apparel,1,33.59,6.5,40.09,Not Used,10,0.18,"3,500","2,019.73",4,apr,Medium-High
2019-04-11,"25,332","13,319",F,Illinois,27,GGOEGAFB035814,Apparel,2,55.99,6.5,118.48,Not Used,10,0.18,"3,000",804.85,4,apr,Medium-High
2019-04-11,"25,332","13,319",F,Illinois,27,GGOEGAFB035815,Apparel,1,55.99,6.5,62.49,Used,10,0.18,"3,000",804.85,4,apr,Medium-High
2019-04-28,"26,697","14,911",F,California,34,GGOEGAEB084513,Apparel,1,33.59,6,39.59,Not Used,10,0.18,"3,500","2,019.73",4,apr,Medium-High
2019-04-11,"25,332","13,319",F,Illinois,27,GGOEGAFB035816,Apparel,2,55.99,6.5,118.48,Clicked,10,0.18,"3,000",804.85,4,apr,Medium-High
2019-04-11,"25,334","13,319",F,Illinois,27,GGOEGAEJ028114,Apparel,1,9.51,6.5,16.01,Used,10,0.18,"3,000",804.85,4,apr,Medium-High
2019-04-11,"25,335","13,319",F,Illinois,27,GGOEGADB057314,Apparel,1,59.99,6.5,66.49,Clicked,10,0.18,"3,000",804.85,4,apr,Medium-High
2019-04-28,"26,696","14,911",F,California,34,GGOEGAEB084517,Apparel,1,33.59,6,39.59,Used,10,0.18,"3,500","2,019.73",4,apr,Medium-High
2019-04-28,"26,696","14,911",F,California,34,GGOEGAEB084516,Apparel,1,33.59,6,39.59,Used,10,0.18,"3,500","2,019.73",4,apr,Medium-High
2019-04-28,"26,696","14,911",F,California,34,GGOEGAEB084515,Apparel,1,33.59,6,39.59,Clicked,10,0.18,"3,500","2,019.73",4,apr,Medium-High
2019-04-28,"26,695","14,911",F,California,34,GGOEGAEB084515,Apparel,2,33.59,6,73.18,Clicked,10,0.18,"3,500","2,019.73",4,apr,Medium-High
2019-04-11,"25,335","13,319",F,Illinois,27,GGOEGAFB035814,Apparel,1,44.79,6.5,51.29,Clicked,10,0.18,"3,000",804.85,4,apr,Medium-High
2019-04-11,"25,335","13,319",F,Illinois,27,GGOEGAFJ036214,Apparel,1,41.59,6.5,48.09,Clicked,10,0.18,"3,000",804.85,4,apr,Medium-High
2019-04-28,"26,694","14,911",F,California,34,GGOEGAEB084515,Apparel,1,33.59,6,39.59,Clicked,10,0.18,"3,500","2,019.73",4,apr,Medium-High
2019-04-28,"26,693","14,911",F,California,34,GGOEGAEB084515,Apparel,1,33.59,6,39.59,Clicked,10,0.18,"3,500","2,019.73",4,apr,Medium-High
2019-04-28,"26,692","14,911",F,California,34,GGOEGAEB084517,Apparel,1,33.59,6,39.59,Used,10,0.18,"3,500","2,019.73",4,apr,Medium-High
2019-04-28,"26,692","14,911",F,California,34,GGOEGAEB084514,Apparel,1,33.59,6,39.59,Clicked,10,0.18,"3,500","2,019.73",4,apr,Medium-High
2019-04-28,"26,691","14,911",F,California,34,GGOEGAEB084514,Apparel,1,33.59,6,39.59,Not Used,10,0.18,"3,500","2,019.73",4,apr,Medium-High
2019-04-28,"26,690","14,911",F,California,34,GGOEGAEB084517,Apparel,1,33.59,6,39.59,Used,10,0.18,"3,500","2,019.73",4,apr,Medium-High
2019-04-28,"26,689","14,911",F,California,34,GGOEGAEB084517,Apparel,1,33.59,6,39.59,Used,10,0.18,"3,500","2,019.73",4,apr,Medium-High
2019-04-28,"26,689","14,911",F,California,34,GGOEGAEB084515,Apparel,1,33.59,6,39.59,Clicked,10,0.18,"3,500","2,019.73",4,apr,Medium-High
2019-04-28,"26,688","14,911",F,California,34,GGOEGAEB084514,Apparel,2,33.59,6,73.18,Clicked,10,0.18,"3,500","2,019.73",4,apr,Medium-High
2019-04-11,"25,339","13,319",F,Illinois,27,GGOEGAAB010515,Apparel,1,13.59,6.5,20.09,Clicked,10,0.18,"3,000",804.85,4,apr,Medium-High
2019-04-11,"25,339","13,319",F,Illinois,27,GGOEGAAJ059115,Apparel,1,12.31,6.5,18.81,Not Used,10,0.18,"3,000",804.85,4,apr,Medium-High
2019-04-11,"25,339","13,319",F,Illinois,27,GGOEGAAQ033915,Apparel,1,10.63,6.5,17.13,Used,10,0.18,"3,000",804.85,4,apr,Medium-High
2019-04-28,"26,687","14,911",F,California,34,GGOEGAEB084514,Apparel,1,33.59,6,39.59,Used,10,0.18,"3,500","2,019.73",4,apr,Medium-High
