"month","product_category","revenue","gross_profit","coupon_dollars","net_profit_after_coupons","roas"
2019-03-01,Accessories,66.49,33.245,"1,994.7","-1,961.455",0.0166666667
2019-03-01,Android,242.22,121.11,"7,266.6","-7,145.49",0.0166666667
2019-03-01,Apparel,"76,105.78","38,052.89","2,283,173.4","-2,245,120.51",0.0166666667
2019-03-01,Backpacks,738.22,369.11,0,369.11,
2019-03-01,Bags,"17,635.02","8,817.51","529,050.6","-520,233.09",0.0166666667
2019-03-01,Bottles,710.92,355.46,"21,327.6","-20,972.14",0.0166666667
2019-03-01,Drinkware,"28,638.74","14,319.37","859,162.2","-844,842.83",0.0166666667
2019-03-01,Fun,898.86,449.43,0,449.43,
2019-03-01,Gift Cards,375,187.5,"11,250","-11,062.5",0.0166666667
2019-03-01,Google,"3,129.64","1,564.82",0,"1,564.82",
2019-03-01,Headgear,"3,886","1,943","116,580","-114,637",0.0166666667
2019-03-01,Housewares,957.58,478.79,"28,727.4","-28,248.61",0.0166666667
2019-03-01,Lifestyle,"11,764.65","5,882.325","352,939.5","-347,057.175",0.0166666667
2019-03-01,More Bags,630.29,315.145,0,315.145,
2019-03-01,Nest-Canada,"7,857.6","3,928.8","235,728","-231,799.2",0.0166666667
2019-03-01,Nest-USA,"207,908.15","103,954.075","6,237,244.5","-6,133,290.425",0.0166666667
2019-03-01,Notebooks & Journals,"5,748.62","2,874.31","172,458.6","-169,584.29",0.0166666667
2019-03-01,Office,"41,705.21","20,852.605","1,251,156.3","-1,230,303.695",0.0166666667
2019-03-01,Waze,"1,409.04",704.52,"42,271.2","-41,566.68",0.0166666667
2019-04-01,Accessories,191.96,95.98,"1,919.6","-1,823.62",0.05
2019-04-01,Android,52.98,26.49,529.8,-503.31,0.05
2019-04-01,Apparel,"101,988.41","50,994.205","1,019,884.1","-968,889.895",0.05
2019-04-01,Backpacks,"1,191.44",595.72,0,595.72,
2019-04-01,Bags,"13,134.33","6,567.165","131,343.3","-124,776.135",0.05
2019-04-01,Bottles,745.12,372.56,"7,451.2","-7,078.64",0.05
2019-04-01,Drinkware,"30,711.43","15,355.715","307,114.3","-291,758.585",0.05
2019-04-01,Fun,"2,538.29","1,269.145",0,"1,269.145",
2019-04-01,Gift Cards,725,362.5,"7,250","-6,887.5",0.05
2019-04-01,Google,"1,141.61",570.805,0,570.805,
2019-04-01,Headgear,"12,906.75","6,453.375","129,067.5","-122,614.125",0.05
2019-04-01,Housewares,178.75,89.375,"1,787.5","-1,698.125",0.05
2019-04-01,Lifestyle,"12,053.81","6,026.905","120,538.1","-114,511.195",0.05
2019-04-01,More Bags,454.87,227.435,0,227.435,
2019-04-01,Nest-Canada,"5,855.9","2,927.95","58,559","-55,631.05",0.05
2019-04-01,Nest-USA,"189,115.89","94,557.945","1,891,158.9","-1,796,600.955",0.05
2019-04-01,Notebooks & Journals,"24,289.71","12,144.855","242,897.1","-230,752.245",0.05
2019-04-01,Office,"44,876.57","22,438.285","448,765.7","-426,327.415",0.05
2019-04-01,Waze,947.34,473.67,"9,473.4","-8,999.73",0.05
2019-05-01,Accessories,190.97,95.485,"3,819.4","-3,723.915",0.025
2019-05-01,Android,121.95,60.975,"2,439","-2,378.025",0.025
2019-05-01,Apparel,"74,306.92","37,153.46","1,486,138.4","-1,448,984.94",0.025
2019-05-01,Backpacks,"1,565.82",782.91,0,782.91,
2019-05-01,Bags,"11,669.82","5,834.91","233,396.4","-227,561.49",0.025
2019-05-01,Bottles,"1,506.89",753.445,"30,137.8","-29,384.355",0.025
2019-05-01,Drinkware,"19,829.87","9,914.935","396,597.4","-386,682.465",0.025
2019-05-01,Fun,805.93,402.965,0,402.965,
2019-05-01,Gift Cards,"1,325",662.5,"26,500","-25,837.5",0.025
2019-05-01,Google,"1,649.85",824.925,0,824.925,
2019-05-01,Headgear,"3,598.89","1,799.445","71,977.8","-70,178.355",0.025
2019-05-01,Housewares,635.96,317.98,"12,719.2","-12,401.22",0.025
2019-05-01,Lifestyle,"8,136.36","4,068.18","162,727.2","-158,659.02",0.025
2019-05-01,More Bags,435.22,217.61,0,217.61,
2019-05-01,Nest-Canada,"3,979.05","1,989.525","79,581","-77,591.475",0.025
2019-05-01,Nest-USA,"180,281.98","90,140.99","3,605,639.6","-3,515,498.61",0.025
2019-05-01,Notebooks & Journals,"6,783.7","3,391.85","135,674","-132,282.15",0.025
2019-05-01,Office,"31,476.12","15,738.06","629,522.4","-613,784.34",0.025
2019-05-01,Waze,859.29,429.645,"17,185.8","-16,756.155",0.025
2019-06-01,Accessories,263.72,131.86,"7,911.6","-7,779.74",0.0166666667
2019-06-01,Android,225.9,112.95,"6,777","-6,664.05",0.0166666667
2019-06-01,Apparel,"60,368.91","30,184.455","1,811,067.3","-1,780,882.845",0.0166666667
2019-06-01,Backpacks,336.84,168.42,0,168.42,
2019-06-01,Bags,"14,270.11","7,135.055","428,103.3","-420,968.245",0.0166666667
2019-06-01,Bottles,799.79,399.895,"23,993.7","-23,593.805",0.0166666667
2019-06-01,Drinkware,"20,301.54","10,150.77","609,046.2","-598,895.43",0.0166666667
2019-06-01,Fun,863.07,431.535,0,431.535,
2019-06-01,Gift Cards,"1,200",600,"36,000","-35,400",0.0166666667
2019-06-01,Google,"1,257.46",628.73,0,628.73,
2019-06-01,Headgear,"1,786.12",893.06,"53,583.6","-52,690.54",0.0166666667
2019-06-01,Housewares,487.56,243.78,"14,626.8","-14,383.02",0.0166666667
2019-06-01,Lifestyle,"8,744.71","4,372.355","262,341.3","-257,968.945",0.0166666667
2019-06-01,Nest-Canada,"9,624.05","4,812.025","288,721.5","-283,909.475",0.0166666667
2019-06-01,Nest-USA,"203,033.31","101,516.655","6,090,999.3","-5,989,482.645",0.0166666667
2019-06-01,Notebooks & Journals,"5,590.03","2,795.015","167,700.9","-164,905.885",0.0166666667
2019-06-01,Office,"28,658.71","14,329.355","859,761.3","-845,431.945",0.0166666667
2019-06-01,Waze,783.13,391.565,"23,493.9","-23,102.335",0.0166666667
2019-07-01,Accessories,"1,978.83",989.415,"19,788.3","-18,798.885",0.05
2019-07-01,Android,163.91,81.955,"1,639.1","-1,557.145",0.05
2019-07-01,Apparel,"83,341.61","41,670.805","833,416.1","-791,745.295",0.05
2019-07-01,Backpacks,781.9,390.95,0,390.95,
2019-07-01,Bags,"13,915.75","6,957.875","139,157.5","-132,199.625",0.05
2019-07-01,Bottles,"1,587.07",793.535,"15,870.7","-15,077.165",0.05
2019-07-01,Drinkware,"15,543.56","7,771.78","155,435.6","-147,663.82",0.05
2019-07-01,Fun,"1,252.54",626.27,0,626.27,
2019-07-01,Gift Cards,500,250,"5,000","-4,750",0.05
2019-07-01,Google,"1,789.84",894.92,0,894.92,
2019-07-01,Headgear,"3,101.59","1,550.795","31,015.9","-29,465.105",0.05
2019-07-01,Housewares,"1,482.32",741.16,"14,823.2","-14,082.04",0.05
2019-07-01,Lifestyle,"13,721.33","6,860.665","137,213.3","-130,352.635",0.05
2019-07-01,Nest-Canada,"8,008.64","4,004.32","80,086.4","-76,082.08",0.05
2019-07-01,Nest-USA,"216,945.76","108,472.88","2,169,457.6","-2,060,984.72",0.05
2019-07-01,Notebooks & Journals,"25,147.87","12,573.935","251,478.7","-238,904.765",0.05
2019-07-01,Office,"31,711.34","15,855.67","317,113.4","-301,257.73",0.05
2019-07-01,Waze,388.14,194.07,"3,881.4","-3,687.33",0.05
2019-08-01,Accessories,390.01,195.005,"7,800.2","-7,605.195",0.025
2019-08-01,Android,144.03,72.015,"2,880.6","-2,808.585",0.025
2019-08-01,Apparel,"77,844.4","38,922.2","1,556,888","-1,517,965.8",0.025
2019-08-01,Backpacks,"1,574.53",787.265,0,787.265,
2019-08-01,Bags,"18,737.35","9,368.675","374,747","-365,378.325",0.025
2019-08-01,Bottles,750.61,375.305,"15,012.2","-14,636.895",0.025
2019-08-01,Drinkware,"28,493.96","14,246.98","569,879.2","-555,632.22",0.025
2019-08-01,Fun,403.86,201.93,0,201.93,
2019-08-01,Gift Cards,750,375,"15,000","-14,625",0.025
2019-08-01,Google,290.52,145.26,0,145.26,
2019-08-01,Headgear,"22,756.68","11,378.34","455,133.6","-443,755.26",0.025
2019-08-01,Housewares,"1,161.7",580.85,"23,234","-22,653.15",0.025
2019-08-01,Lifestyle,"12,504.94","6,252.47","250,098.8","-243,846.33",0.025
2019-08-01,Nest,"21,275.92","10,637.96","425,518.4","-414,880.44",0.025
2019-08-01,Nest-Canada,"5,158.8","2,579.4","103,176","-100,596.6",0.025
2019-08-01,Nest-USA,"203,975.89","101,987.945","4,079,517.8","-3,977,529.855",0.025
2019-08-01,Notebooks & Journals,"31,112.44","15,556.22","622,248.8","-606,692.58",0.025
2019-08-01,Office,"33,965.58","16,982.79","679,311.6","-662,328.81",0.025
2019-08-01,Waze,"1,018.72",509.36,"20,374.4","-19,865.04",0.025
2019-09-01,Accessories,"1,495.27",747.635,"44,858.1","-44,110.465",0.0166666667
2019-09-01,Apparel,"69,378.38","34,689.19","2,081,351.4","-2,046,662.21",0.0166666667
2019-09-01,Backpacks,758.08,379.04,0,379.04,
2019-09-01,Bags,"11,167.38","5,583.69","335,021.4","-329,437.71",0.0166666667
2019-09-01,Bottles,"2,057.87","1,028.935","61,736.1","-60,707.165",0.0166666667
2019-09-01,Drinkware,"22,302.1","11,151.05","669,063","-657,911.95",0.0166666667
2019-09-01,Fun,236.44,118.22,0,118.22,
2019-09-01,Gift Cards,600,300,"18,000","-17,700",0.0166666667
2019-09-01,Headgear,"1,550.27",775.135,"46,508.1","-45,732.965",0.0166666667
2019-09-01,Housewares,38.48,19.24,"1,154.4","-1,135.16",0.0166666667
2019-09-01,Lifestyle,"10,626.43","5,313.215","318,792.9","-313,479.685",0.0166666667
2019-09-01,Nest,"72,240.94","36,120.47","2,167,228.2","-2,131,107.73",0.0166666667
2019-09-01,Nest-Canada,"3,579.5","1,789.75","107,385","-105,595.25",0.0166666667
2019-09-01,Nest-USA,"175,616.22","87,808.11","5,268,486.6","-5,180,678.49",0.0166666667
2019-09-01,Notebooks & Journals,"8,614.43","4,307.215","258,432.9","-254,125.685",0.0166666667
2019-09-01,Office,"20,526.95","10,263.475","615,808.5","-605,545.025",0.0166666667
2019-09-01,Waze,765.08,382.54,"22,952.4","-22,569.86",0.0166666667
2019-10-01,Accessories,"1,837.21",918.605,"18,372.1","-17,453.495",0.05
2019-10-01,Apparel,"35,863.85","17,931.925","358,638.5","-340,706.575",0.05
2019-10-01,Backpacks,"1,689.39",844.695,0,844.695,
2019-10-01,Bags,"16,272.78","8,136.39","162,727.8","-154,591.41",0.05
2019-10-01,Bottles,621.81,310.905,"6,218.1","-5,907.195",0.05
2019-10-01,Drinkware,"25,462.61","12,731.305","254,626.1","-241,894.795",0.05
2019-10-01,Fun,47.09,23.545,0,23.545,
2019-10-01,Gift Cards,"12,575","6,287.5","125,750","-119,462.5",0.05
2019-10-01,Headgear,951.29,475.645,"9,512.9","-9,037.255",0.05
2019-10-01,Lifestyle,"12,130.1","6,065.05","121,301","-115,235.95",0.05
2019-10-01,Nest,"110,256.78","55,128.39","1,102,567.8","-1,047,439.41",0.05
2019-10-01,Nest-Canada,"5,058.85","2,529.425","50,588.5","-48,059.075",0.05
2019-10-01,Nest-USA,"213,146.71","106,573.355","2,131,467.1","-2,024,893.745",0.05
2019-10-01,Notebooks & Journals,44.49,22.245,444.9,-422.655,0.05
2019-10-01,Office,"18,455.47","9,227.735","184,554.7","-175,326.965",0.05
2019-10-01,Waze,"1,229.73",614.865,"12,297.3","-11,682.435",0.05
2019-11-01,Accessories,"2,438.54","1,219.27","48,770.8","-47,551.53",0.025
2019-11-01,Apparel,"24,309.06","12,154.53","486,181.2","-474,026.67",0.025
2019-11-01,Backpacks,383.96,191.98,0,191.98,
2019-11-01,Bags,"13,935.03","6,967.515","278,700.6","-271,733.085",0.025
2019-11-01,Drinkware,"8,950.58","4,475.29","179,011.6","-174,536.31",0.025
2019-11-01,Headgear,693.2,346.6,"13,864","-13,517.4",0.025
2019-11-01,Lifestyle,"2,869.06","1,434.53","57,381.2","-55,946.67",0.025
2019-11-01,Nest,"179,367.08","89,683.54","3,587,341.6","-3,497,658.06",0.025
2019-11-01,Nest-Canada,"4,995.8","2,497.9","99,916","-97,418.1",0.025
2019-11-01,Nest-USA,"273,088.45","136,544.225","5,461,769","-5,325,224.775",0.025
2019-11-01,Office,"28,721.71","14,360.855","574,434.2","-560,073.345",0.025
2019-11-01,Waze,"1,502.08",751.04,"30,041.6","-29,290.56",0.025
2019-12-01,Accessories,"1,172.08",586.04,"35,162.4","-34,576.36",0.0166666667
2019-12-01,Apparel,"59,455.92","29,727.96","1,783,677.6","-1,753,949.64",0.0166666667
2019-12-01,Bags,"10,137.78","5,068.89","304,133.4","-299,064.51",0.0166666667
2019-12-01,Drinkware,"11,874.91","5,937.455","356,247.3","-350,309.845",0.0166666667
2019-12-01,Gift Cards,800.13,400.065,"24,003.9","-23,603.835",0.0166666667
2019-12-01,Headgear,"1,664.9",832.45,"49,947","-49,114.55",0.0166666667
2019-12-01,Lifestyle,"2,686.85","1,343.425","80,605.5","-79,262.075",0.0166666667
2019-12-01,Nest,"151,135.58","75,567.79","4,534,067.4","-4,458,499.61",0.0166666667
2019-12-01,Nest-Canada,"5,517.49","2,758.745","165,524.7","-162,765.955",0.0166666667
2019-12-01,Nest-USA,"292,368.34","146,184.17","8,771,050.2","-8,624,866.03",0.0166666667
2019-12-01,Notebooks & Journals,"1,045.44",522.72,"31,363.2","-30,840.48",0.0166666667
2019-12-01,Office,"22,202.66","11,101.33","666,079.8","-654,978.47",0.0166666667
2019-12-01,Waze,"1,078.1",539.05,"32,343","-31,803.95",0.0166666667
